Gogunda ,149,PRATAP LAL BHEEL (GAMETI),Bharatiya Janata Party,DR. MANGI LAL GARASIYA,Indian National Congress,4411                                              ,Result Declared,PRATAP LAL BHEEL,Bharatiya Janata Party,3345
Gudhamalani,139,HEMARAM CHOUDHARY,Indian National Congress,LADU RAM,Bharatiya Janata Party,13564                                             ,Result Declared,LADU RAM,Bharatiya Janata Party,33155
Hanumangarh,8,VINOD KUMAR,Indian National Congress,RAMPRATAP,Bharatiya Janata Party,15522                                             ,Result Declared,RAMPRATAP,Bharatiya Janata Party,30487
Hawa mahal,49,DR. MAHESH JOSHI,Indian National Congress,SURENDRA PAREEK,Bharatiya Janata Party,9282                                              ,Result Declared,SURENDRA PAREEK,Bharatiya Janata Party,12715
Hindaun ,82,BHAROSI LAL,Indian National Congress,MANJU KHAIRWAL,Bharatiya Janata Party,26780                                             ,Result Declared,RAJKUMARI,Bharatiya Janata Party,8111
Hindoli,184,ASHOK,Indian National Congress,OMENDRA SINGH HADA,Bharatiya Janata Party,30541                                             ,Result Declared,ASHOK,Indian National Congress,18453
Jahazpur,182,GOPI CHAND MEENA,Bharatiya Janata Party,DHEERAJ GURJAR,Indian National Congress,13253                                             ,Result Declared,DHIRAJ GURJAR,Indian National Congress,4262
Jaisalmer,132,ROOPARAM,Indian National Congress,SANGSINGH BHATI,Bharatiya Janata Party,29778                                             ,Result Declared,CHHOTU SINGH,Bharatiya Janata Party,2867
Jaitaran,116,AVINASH,Bharatiya Janata Party,DILIP CHOUDHARY,Indian National Congress,12188                                             ,Result Declared,SURENDRA GOYAL,Bharatiya Janata Party,34874
Jalore ,142,JOGESHWAR GARG,Bharatiya Janata Party,MANJU MEGHWAL,Indian National Congress,35234                                             ,Result Declared,AMRITA MEGHWAL,Bharatiya Janata Party,46800
Jamwa ramgarh ,48,GOPAL LAL MEENA,Indian National Congress,MAHENDRA PAL MEENA,Bharatiya Janata Party,21684                                             ,Result Declared,JAGDISH NARAYAN ,Bharatiya Janata Party,31901
Jayal ,108,MANJU DEVI,Indian National Congress,ANIL,Rashtriya Loktantrik Party,18604                                             ,Result Declared,DR. MANJU BAGHMAR,Bharatiya Janata Party,13109
Jhadol  ,150,BABU LAL,Bharatiya Janata Party,SUNIL KUMAR BHAJAT,Indian National Congress,12947                                             ,Result Declared,HEERALAL DARANGI,Indian National Congress,4684
Jhalrapatan,198,VASUNDHARA RAJE,Bharatiya Janata Party,MANVENDRA SINGH,Indian National Congress,34980                                             ,Result Declared,VASUNDHRA RAJE,Bharatiya Janata Party,60896
Jhotwara,46,LALCHAND KATARIA,Indian National Congress,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,10747                                             ,Result Declared,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,19602
Jhunjhunu,27,BRIJENDRA SINGH OLA,Indian National Congress,RAJENDRA SINGH BHAMBOO,Bharatiya Janata Party,40565                                             ,Result Declared,BRIJENDRA SINGH OLA,Indian National Congress,18412
Jodhpur,128,MANISHA PANWAR,Indian National Congress,ATUL BHANSALI,Bharatiya Janata Party,5849                                              ,Result Declared,KAILASH BHANSHALI,Bharatiya Janata Party,14510
Kaman,70,ZAHIDA KHAN,Indian National Congress,JAWAHAR SINGH BEADHAM,Bharatiya Janata Party,39621                                             ,Result Declared,KU. JAGAT SINGH,Bharatiya Janata Party,3357
Kapasan,167,ARJUN LAL JINGAR,Bharatiya Janata Party,ANANDI RAM,Indian National Congress,7002                                              ,Result Declared,ARJUN LAL JEENGAR,Bharatiya Janata Party,30246
Karanpur,3,GURMEET SINGH KOONER,Indian National Congress,PRITHIPAL SINGH,Independent,28376                                             ,Result Declared,SURENDER PAL SINGH,Bharatiya Janata Party,3853
Karauli,83,LAKHAN SINGH,Bahujan Samaj Party,DARSHAN SINGH,Indian National Congress,9562                                              ,Result Declared,DARSHAN SINGH,Indian National Congress,17167
Kathumar ,69,BABULAL,Indian National Congress,BABULAL MANAGER,Bharatiya Janata Party,14168                                             ,Result Declared,MANGAL RAM,Bharatiya Janata Party,15730
Kekri ,105,RAGHU SHARMA,Indian National Congress,RAJENDRA VINAYAKA,Bharatiya Janata Party,19461                                             ,Result Declared,SHATRUGHAN GAUTAM,Bharatiya Janata Party,8867
Keshoraipatan ,185,CHANDRAKANTA MEGHWAL,Bharatiya Janata Party,RAKESH BOYAT,Indian National Congress,7119                                              ,Result Declared,BABOO LAL VERMA,Bharatiya Janata Party,12731
Khajuwala ,12,GOVIND RAM,Indian National Congress,DR. VISHWANATH,Bharatiya Janata Party,31089                                             ,Result Declared,VISHWANATH,Bharatiya Janata Party,8357
Khandar,93,ASHOK,Indian National Congress,JITENDRA KUMAR GOTHWAL,Bharatiya Janata Party,27949                                             ,Result Declared,JITENDRA KUMAR GOTHWAL,Bharatiya Janata Party,19342
Khandela,37,MAHADEO SINGH,Independent,BANSHIDHAR BAJIYA,Bharatiya Janata Party,4348                                              ,Result Declared,BANSHIDHAR,Bharatiya Janata Party,35394
Khanpur,199,NARENDRA NAGAR,Bharatiya Janata Party,SURESH,Indian National Congress,2265                                              ,Result Declared,NARENDRA NAGAR,Bharatiya Janata Party,30956
Kherwara ,151,DAYARAM PARMAR,Indian National Congress,NANALAL AHARI,Bharatiya Janata Party,24991                                             ,Result Declared,NANA LAL AHARI,Bharatiya Janata Party,11166
Khetri,31,JITENDRA SINGH,Indian National Congress,DHARMPAL,Bharatiya Janata Party,957                                               ,Result Declared,POORANMAL SAINI,Bahujan Samaj Party,7850
Khinwsar,110,HANUMAN BENIWAL,Rashtriya Loktantrik Party,SAVAI SINGH CHAUDHARY,Indian National Congress,16948                                             ,Result Declared,HANUMAN BENIWAL,Independent,23020
Kishan pole,52,AMIN KAGZI,Indian National Congress,MOHAN LAL GUPTA,Bharatiya Janata Party,8770                                              ,Result Declared,MOHAN LAL GUPTA,Bharatiya Janata Party,9685
Kishanganj ,194,NIRMALA SAHARIYA,Indian National Congress,LALIT MEENA,Bharatiya Janata Party,14136                                             ,Result Declared,LALIT KUMAR,Bharatiya Janata Party,12982
Kishangarh,98,SURESH TAK,Independent,VIKASH CHOUDHARY,Bharatiya Janata Party,17452                                             ,Result Declared,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,31074
Kishangarh bas,60,DEEPCHAND,Bahujan Samaj Party,RAMHET SINGH YADAV,Bharatiya Janata Party,9916                                              ,Result Declared,RAMHET SINGH YADAV,Bharatiya Janata Party,14816
Kolayat,15,BHANWAR SINGH BHATI,Indian National Congress,POONAM KANWAR BHATI,Bharatiya Janata Party,11016                                             ,Result Declared,BHANWAR SINGH,Indian National Congress,1134
Kota North,189,SHANTI KUMAR DHARIWAL,Indian National Congress,PRAHLAD GUNJAL,Bharatiya Janata Party,17945                                             ,Result Declared,PRAHLAD GUNJAL,Bharatiya Janata Party,14861
Kota South,190,SANDEEP SHARMA,Bharatiya Janata Party,RAKHI GAUTAM,Indian National Congress,7534                                              ,Result Declared,OM BIRLA,Bharatiya Janata Party,49439
Kotputli ,40,RAJENDRA SINGH YADAV,Indian National Congress,MUKESH GOYAL,Bharatiya Janata Party,13876                                             ,Result Declared,RAJENDRA SINGH YADAV,Indian National Congress,24687
Kumbhalgarh,174,SURENDRA SINGH RATHORE,Bharatiya Janata Party,GANESH SINGH,Indian National Congress,18443                                             ,Result Declared,SURENDRA SINGH RATHORE,Bharatiya Janata Party,27606
Kushalgarh ,166,RAMILA KHADIYA,Independent,BHIMA BHAI,Bharatiya Janata Party,18950                                             ,Result Declared,BHIMA BHAI,Bharatiya Janata Party,708
Lachhmangarh,33,GOVIND SINGH DOTASARA,Indian National Congress,DINESH JOSHI,Bharatiya Janata Party,22052                                             ,Result Declared,GOVIND SINGH DOTASARA,Indian National Congress,10723
Ladnun,106,MUKESH KUMAR BHAKAR,Indian National Congress,MANOHAR SINGH,Bharatiya Janata Party,12947                                             ,Result Declared,MANOHAR SINGH,Bharatiya Janata Party,23051
Ladpura ,191,KALPANA DEVI,Bharatiya Janata Party,GULANAJ GUDDU,Indian National Congress,21656                                             ,Result Declared,BHAWANI SINGH RAJAWAT,Bharatiya Janata Party,16206
Lalsot ,89,PARSADI LAL,Indian National Congress,RAMBILAS,Bharatiya Janata Party,9074                                              ,Result Declared,DR. KIRODI LAL,National People’s Party,491
Lohawat,123,KISANA RAM VISHNOI,Indian National Congress,GAJENDRA SINGH,Bharatiya Janata Party,40876                                             ,Result Declared,GAJENDRA SINGH,Bharatiya Janata Party,19814
Luni,130,MAHENDRA VISHNOI,Indian National Congress,JOGARAM PATEL,Bharatiya Janata Party,9157                                              ,Result Declared,JOGARAM PATEL,Bharatiya Janata Party,35940
Lunkaransar,16,SUMIT GODARA,Bharatiya Janata Party,VIRENDRA BENIWAL,Indian National Congress,10853                                             ,Result Declared,MANIK CHAND SURANA,Independent,4817
Mahuwa,86,OM PRAKASH HUDLA,Independent,RAJENDRA,Bharatiya Janata Party,9985                                              ,Result Declared,OMPRAKASH,Bharatiya Janata Party,15658
Makrana,113,ROOPA RAM,Bharatiya Janata Party,JAKIR HUSSAIN GESAWAT,Indian National Congress,1488                                              ,Result Declared,SHREERAM BHINCHAR,Bharatiya Janata Party,11778
Malpura,94,KANHIYA LAL,Bharatiya Janata Party,RANVEER PHALWAN,Rashtriya Lok Dal,29786                                             ,Result Declared,KANHIYALAL,Bharatiya Janata Party,40221
Malviya Nagar,54,KALICHARAN SARAF,Bharatiya Janata Party,DR. ARCHANA SHARMA,Indian National Congress,1704                                              ,Result Declared,KALICHARAN SARAF,Bharatiya Janata Party,48718
Mandal,178,RAMLAL JAT,Indian National Congress,PRADHYUMAN SINGH (HAPPY BANNA),Independent,8065                                              ,Result Declared,KALU LAL GUJAR,Bharatiya Janata Party,41434
Mandalgarh ,183,GOPAL LAL SHARMA,Bharatiya Janata Party,VIVEK DHAKAR,Indian National Congress,10333                                             ,Result Declared,KIRTIKUMARI,Bharatiya Janata Party,18540
Mandawa,28,NARENDRA KUMAR,Bharatiya Janata Party,KUM. RITA  CHOUDHARY,Indian National Congress,2346                                              ,Result Declared,NARENDRA KUMAR,Independent,17118
Manohar thana,200,GOVIND PRASAD,Bharatiya Janata Party,KAILASH CHAND,Indian National Congress,21869                                             ,Result Declared,KANWAR LAL,Bharatiya Janata Party,34666
Marwar junction,119,KHUSHVEER SINGH,Independent,KESARAM CHOUDHARY,Bharatiya Janata Party,251                                               ,Result Declared,KESARAM CHOUDHARY,Bharatiya Janata Party,13653
Masuda,104,RAKESH PAREEK,Indian National Congress,SUSHIL KANWAR,Bharatiya Janata Party,3374                                              ,Result Declared,SUSHIL KANWAR ,Bharatiya Janata Party,4475
Mavli,154,DHARMNARAYAN JOSHI,Bharatiya Janata Party,PUSHKAR LAL DANGI,Indian National Congress,26978                                             ,Result Declared,DALI CHAND DANGI,Bharatiya Janata Party,23465
